,XLK,XLF,XLE,XLV,XLI,XLY,XLP,XLU,XLRE,XLB,XLC
2021-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.9957623249645481,0.0,0.0,0.0,0.0042376750354518765
2021-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9957623249645506,0.0,0.0,0.0,0.004237675035447302
2021-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.9957623249645474,0.0,0.0,0.0,0.004237675035450384
2021-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.9957623249645589,0.0,0.0,0.0,0.004237675035428534
2021-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.9957623249645482,0.0,0.0,0.0,0.0042376750354518045
2021-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.9957623249645494,0.0,0.0,0.0,0.004237675035452043
2021-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.995762324964548,0.0,0.0,0.0,0.004237675035452011
2021-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.9957623249645484,0.0,0.0,0.0,0.004237675035451889
2021-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.99576232496456,0.0,0.0,0.0,0.004237675035453363
2021-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.9957623249645485,0.0,0.0,0.0,0.004237675035451426
2021-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.995762324964548,0.0,0.0,0.0,0.004237675035452224
2021-01-20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-01-21,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000004,0.0,0.0,0.0,0.0
2021-01-22,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000029,0.0,0.0,0.0,0.0
2021-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999885,0.0,0.0,0.0,0.0
2021-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999996704,0.0,0.0,0.0,0.0
2021-01-27,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.0
2021-01-29,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,0.04661443236740316,0.0,0.0,0.9437748951332796,0.0,0.0,0.0,0.009610672499317297
2021-02-02,0.0,0.0,0.0,0.04661443236740297,0.0,0.0,0.9437748951332797,0.0,0.0,0.0,0.00961067249931714
2021-02-03,0.0,0.0,0.0,0.046614432367403785,0.0,0.0,0.9437748951332788,0.0,0.0,0.0,0.0096106724993173
2021-02-04,0.0,0.0,0.0,0.04661443236740362,0.0,0.0,0.9437748951332786,0.0,0.0,0.0,0.009610672499317503
2021-02-05,0.0,0.0,0.0,0.04661443236740402,0.0,0.0,0.9437748951332786,0.0,0.0,0.0,0.009610672499317352
2021-02-08,0.0,0.0,0.0,0.046614432367403445,0.0,0.0,0.9437748951332792,0.0,0.0,0.0,0.009610672499317316
2021-02-09,0.0,0.0,0.0,0.0466144323674053,0.0,0.0,0.9437748951332838,0.0,0.0,0.0,0.009610672499316191
2021-02-10,0.0,0.0,0.0,0.046614432367403924,0.0,0.0,0.9437748951332795,0.0,0.0,0.0,0.009610672499317385
2021-02-11,0.0,0.0,0.0,0.04661443236740383,0.0,0.0,0.9437748951332788,0.0,0.0,0.0,0.009610672499317331
2021-02-12,0.0,0.0,0.0,0.04661443236740167,0.0,0.0,0.9437748951332752,0.0,0.0,0.0,0.009610672499316646
2021-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.9971551785870447,0.0,0.0,0.0,0.002844821412955367
2021-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.9971551785870444,0.0,0.0,0.0,0.0028448214129555833
2021-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.9971551785870545,0.0,0.0,0.0,0.0028448214129249846
2021-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.9999529100210067,0.0,0.0,0.0,4.708997899364145e-05
2021-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.9999529100210056,0.0,0.0,0.0,4.708997899434687e-05
2021-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.9999529100210061,0.0,0.0,0.0,4.708997899394109e-05
2021-02-24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-02-25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-02-26,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0
2021-03-02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999989,0.0,0.0,0.0,0.0
2021-03-08,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-09,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000087,0.0,0.0,0.0,0.0
2021-03-10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-11,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000042,0.0,0.0,0.0,0.0
2021-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999934,0.0,0.0,0.0,0.0
2021-03-15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999994,0.0,0.0,0.0,0.0
2021-03-17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999983,0.0,0.0,0.0,0.0
2021-03-19,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000036,0.0,0.0,0.0,0.0
2021-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999979,0.0,0.0,0.0,0.0
2021-03-23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999994,0.0,0.0,0.0,0.0
2021-03-25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-26,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000004,0.0,0.0,0.0,0.0
2021-03-29,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000004,0.0,0.0,0.0,0.0
